Product_ID,Product_Type,Product_Name,Category,Risk_Level,Expected_Return (%),Investment_Horizon (Years),Volatility_Level
RELIANCE.NS,Equity,Reliance Industries Limited,Stock,Medium,17.75,5,Medium
INFY.NS,Equity,Infosys Limited,Stock,Medium,21.72,5,Medium
TCS.NS,Equity,Tata Consultancy Services Limited,Stock,Medium,23.31,5,Medium
HDFCBANK.NS,Equity,HDFC Bank Limited,Stock,Medium,18.97,5,Medium
BAJFINANCE.NS,Equity,Bajaj Finance Limited,Stock,High,26.35,5,High
Scheme Code,Mutual Fund,Scheme Name,General Mutual Fund,Medium,8.0,3,Medium
119551,Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,General Mutual Fund,Medium,8.0,3,Medium
119552,Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,General Mutual Fund,Medium,8.0,3,Medium
119553,Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,General Mutual Fund,Medium,8.0,3,Medium
108272,Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,General Mutual Fund,Medium,8.0,3,Medium
110282,Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,General Mutual Fund,Medium,8.0,3,Medium
108274,Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,General Mutual Fund,Medium,8.0,3,Medium
110490,Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,General Mutual Fund,Medium,8.0,3,Medium
106157,Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,General Mutual Fund,Medium,8.0,3,Medium
108273,Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,General Mutual Fund,Medium,8.0,3,Medium
103176,Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,General Mutual Fund,Medium,8.0,3,Medium
119550,Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,General Mutual Fund,Medium,8.0,3,Medium
128952,Mutual Fund,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,General Mutual Fund,Medium,8.0,3,Medium
120437,Mutual Fund,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,General Mutual Fund,Medium,8.0,3,Medium
120438,Mutual Fund,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,General Mutual Fund,Medium,8.0,3,Medium
120439,Mutual Fund,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,General Mutual Fund,Medium,8.0,3,Medium
120436,Mutual Fund,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,General Mutual Fund,Medium,8.0,3,Medium
128953,Mutual Fund,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,General Mutual Fund,Medium,8.0,3,Medium
117447,Mutual Fund,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,General Mutual Fund,Medium,8.0,3,Medium
117446,Mutual Fund,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,General Mutual Fund,Medium,8.0,3,Medium
117449,Mutual Fund,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,General Mutual Fund,Medium,8.0,3,Medium
117448,Mutual Fund,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,General Mutual Fund,Medium,8.0,3,Medium
152164,Mutual Fund,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,General Mutual Fund,Medium,8.0,3,Medium
152163,Mutual Fund,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,General Mutual Fund,Medium,8.0,3,Medium
152165,Mutual Fund,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,General Mutual Fund,Medium,8.0,3,Medium
152166,Mutual Fund,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,General Mutual Fund,Medium,8.0,3,Medium
152162,Mutual Fund,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,General Mutual Fund,Medium,8.0,3,Medium
152167,Mutual Fund,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,General Mutual Fund,Medium,8.0,3,Medium
121936,Mutual Fund,BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,General Mutual Fund,Medium,8.0,3,Medium
127471,Mutual Fund,BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW,General Mutual Fund,Medium,8.0,3,Medium
121934,Mutual Fund,BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,General Mutual Fund,Medium,8.0,3,Medium
121279,Mutual Fund,BANDHAN Banking & PSU Debt Fund - Direct Growth,General Mutual Fund,Medium,8.0,3,Medium
121281,Mutual Fund,BANDHAN Banking & PSU Debt Fund - Direct IDCW,General Mutual Fund,Medium,8.0,3,Medium
121935,Mutual Fund,BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,General Mutual Fund,Medium,8.0,3,Medium
121938,Mutual Fund,BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,General Mutual Fund,Medium,8.0,3,Medium
121933,Mutual Fund,BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,General Mutual Fund,Medium,8.0,3,Medium
127470,Mutual Fund,BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,General Mutual Fund,Medium,8.0,3,Medium
